city_olymics,country,year_olympics,latit,longi
Rome,Italy,1960,41.8931,12.4828
Tokyo,Japan,1964,35.6897,139.6922
Mexico City,Mexico,1968,19.4333,-99.1333
Munich,Germany,1972,48.1372,11.5755
Montreal,Canada,1976,45.5089,-73.5617
Moscow,Soviet Union,1980,55.7558,37.6178
Los Angeles,United States,1984,34.1139,-118.4068
Seoul,South Korea,1988,37.56,126.99
Barcelona,Spain,1992,41.3825,2.1769
Atlanta,United States,1996,33.7627,-84.4224
Sydney,Australia,2000,-33.865,151.2094
Athens,Greece,2004,37.9842,23.7281
Beijing,China,2008,39.905,116.3914
London,United Kingdom,2012,51.5072,-0.1275
Rio,Brazil,2016,-22.9083,-43.1964
Squaw Valley,United States,1960,38.9393,-119.9828
Innsbruck,Austria,1964,47.2683,11.3933
Grenoble,France,1968,45.1715,5.7224
Sapporo,Japan,1972,43.0621,141.3544
Innsbruck,Austria,1976,47.2683,11.3933
Lake Placid,United States,1980,27.2977,-81.3715
Sarajevo,Yugoslavia,1984,43.8667,18.4167
Calgary,Canada,1988,51.05,-114.0667
Albertville,France,1992,34.2634,-86.2107
Lillehammer,Norway,1994,61.1146,10.4674
Nagano,Japan,1998,36.6486,138.1928
Salt Lake City,United States,2002,40.7777,-111.9306
Torino,Italy,2006,45.0333,7.5333
Vancouver,Canada,2010,49.25,-123.1
Sochi,Russia,2014,43.5853,39.7203
